"","Date","Primary.Fur.Color","Running","Climbing","Eating","Foraging","Number"
"74",2018-10-07,"Unknown",FALSE,FALSE,FALSE,FALSE,7
"75",2018-10-07,"Unknown",FALSE,FALSE,FALSE,TRUE,1
"76",2018-10-07,"Unknown",FALSE,FALSE,TRUE,FALSE,2
"77",2018-10-07,"Unknown",FALSE,TRUE,FALSE,FALSE,5
"78",2018-10-08,"Black",FALSE,FALSE,FALSE,TRUE,4
"79",2018-10-08,"Black",FALSE,TRUE,TRUE,FALSE,1
"80",2018-10-08,"Black",TRUE,FALSE,FALSE,FALSE,1
"81",2018-10-08,"Black",TRUE,TRUE,FALSE,FALSE,1
"82",2018-10-08,"Cinnamon",FALSE,FALSE,FALSE,FALSE,5
"83",2018-10-08,"Cinnamon",FALSE,FALSE,FALSE,TRUE,14
"84",2018-10-08,"Cinnamon",FALSE,FALSE,TRUE,FALSE,8
"85",2018-10-08,"Cinnamon",FALSE,FALSE,TRUE,TRUE,1
"86",2018-10-08,"Cinnamon",FALSE,TRUE,FALSE,FALSE,2
"87",2018-10-08,"Cinnamon",FALSE,TRUE,FALSE,TRUE,1
"88",2018-10-08,"Cinnamon",FALSE,TRUE,TRUE,FALSE,1
"89",2018-10-08,"Cinnamon",FALSE,TRUE,TRUE,TRUE,1
"90",2018-10-08,"Cinnamon",TRUE,FALSE,FALSE,FALSE,7
"91",2018-10-08,"Cinnamon",TRUE,FALSE,FALSE,TRUE,2
"92",2018-10-08,"Gray",FALSE,FALSE,FALSE,FALSE,32
"93",2018-10-08,"Gray",FALSE,FALSE,FALSE,TRUE,61
"94",2018-10-08,"Gray",FALSE,FALSE,TRUE,FALSE,24
"95",2018-10-08,"Gray",FALSE,FALSE,TRUE,TRUE,25
"96",2018-10-08,"Gray",FALSE,TRUE,FALSE,FALSE,34
"97",2018-10-08,"Gray",FALSE,TRUE,FALSE,TRUE,4
"98",2018-10-08,"Gray",FALSE,TRUE,TRUE,FALSE,3
"99",2018-10-08,"Gray",FALSE,TRUE,TRUE,TRUE,4
"100",2018-10-08,"Gray",TRUE,FALSE,FALSE,FALSE,19
"101",2018-10-08,"Gray",TRUE,FALSE,FALSE,TRUE,8
"102",2018-10-08,"Gray",TRUE,FALSE,TRUE,FALSE,1
"103",2018-10-08,"Gray",TRUE,FALSE,TRUE,TRUE,6
"104",2018-10-08,"Gray",TRUE,TRUE,FALSE,FALSE,8
"105",2018-10-08,"Gray",TRUE,TRUE,FALSE,TRUE,1
"106",2018-10-08,"Gray",TRUE,TRUE,TRUE,TRUE,2
"107",2018-10-08,"Unknown",FALSE,FALSE,FALSE,FALSE,2
"108",2018-10-08,"Unknown",FALSE,TRUE,FALSE,TRUE,2
"109",2018-10-10,"Black",FALSE,FALSE,FALSE,TRUE,1
"110",2018-10-10,"Black",FALSE,FALSE,TRUE,TRUE,1
"111",2018-10-10,"Black",FALSE,TRUE,FALSE,FALSE,1
"112",2018-10-10,"Black",TRUE,FALSE,FALSE,TRUE,1
"113",2018-10-10,"Cinnamon",FALSE,FALSE,FALSE,FALSE,7
"114",2018-10-10,"Cinnamon",FALSE,FALSE,FALSE,TRUE,15
"115",2018-10-10,"Cinnamon",FALSE,FALSE,TRUE,FALSE,6
"116",2018-10-10,"Cinnamon",FALSE,FALSE,TRUE,TRUE,8
"117",2018-10-10,"Cinnamon",FALSE,TRUE,FALSE,FALSE,3
"118",2018-10-10,"Cinnamon",FALSE,TRUE,FALSE,TRUE,1
